signal,label
-0.006881305406693959,harmonics
0.2515078561822019,harmonics
0.48231946649570906,harmonics
0.6440361858116209,harmonics
0.7373213349508948,harmonics
0.7705880622838326,harmonics
0.7955628684185345,harmonics
0.7728637583216179,harmonics
0.7747588051446752,harmonics
0.7850335346222069,harmonics
0.8523922167194236,harmonics
0.8680240273089715,harmonics
0.8870854153969101,harmonics
0.9143708400432914,harmonics
0.8720747044780821,harmonics
0.8145432335004317,harmonics
0.8039612853214693,harmonics
0.7676081470554749,harmonics
0.7663913076552404,harmonics
0.78059993399654,harmonics
0.7868899313063846,harmonics
0.7432169046812944,harmonics
0.6507343954957114,harmonics
0.47740282870127054,harmonics
0.24108675216407596,harmonics
0.010866324100843105,harmonics
-0.2613191398770066,harmonics
-0.4855905272941553,harmonics
-0.6681537954480482,harmonics
-0.728808500590581,harmonics
-0.7612388786185086,harmonics
-0.7724955395149842,harmonics
-0.7757664193480225,harmonics
-0.78053176079396,harmonics
-0.7652473144888013,harmonics
-0.8238953842443757,harmonics
-0.8826707996341644,harmonics
-0.8800361984663714,harmonics
-0.8827904029642194,harmonics
-0.8689623523181575,harmonics
-0.8213187129165487,harmonics
-0.7977289320699297,harmonics
-0.7779520140811924,harmonics
-0.7824233617565409,harmonics
-0.7801325159703935,harmonics
-0.7734608021621637,harmonics
-0.7337444952459702,harmonics
-0.6427377793479548,harmonics
-0.462044821843286,harmonics
-0.2428538315717022,harmonics
-0.0004408045501855344,harmonics
0.25901330267781364,harmonics
0.4760390266207831,harmonics
0.6409922483697947,harmonics
0.7425068429713519,harmonics
0.7755600787836124,harmonics
0.7548855556171871,harmonics
0.7632582393239307,harmonics
0.7532123662602278,harmonics
0.7882183089471492,harmonics
0.8432224146737417,harmonics
0.8762996595417196,harmonics
0.9258815594491248,harmonics
0.8951529578388755,harmonics
0.8797710415084486,harmonics
0.8410167504482112,harmonics
0.8152428803056099,harmonics
0.7659315156562689,harmonics
0.7532398402226065,harmonics
0.7619488686261182,harmonics
0.7786862702889024,harmonics
0.7502181494935969,harmonics
0.6380945259670929,harmonics
0.4857670691278057,harmonics
0.24114423316523476,harmonics
0.009690091463002813,harmonics
-0.25876193392215124,harmonics
-0.48539276657254754,harmonics
-0.6431107131536042,harmonics
-0.7426842732608397,harmonics
-0.7716914861966082,harmonics
-0.7645338451525657,harmonics
-0.782440345242056,harmonics
-0.7549407325794478,harmonics
-0.784825846277947,harmonics
-0.8151182306693637,harmonics
-0.8758069948314224,harmonics
-0.9141883774544317,harmonics
-0.9038397915964106,harmonics
-0.8844827236420717,harmonics
-0.8315901071517768,harmonics
-0.7957996884353874,harmonics
-0.7662888510069559,harmonics
-0.7730719493327604,harmonics
-0.7779716254867987,harmonics
-0.7891735808359427,harmonics
-0.7323569056524916,harmonics
-0.6587426300694263,harmonics
-0.49855748378093473,harmonics
-0.25418461799671327,harmonics
-0.008951883407127681,harmonics
0.2581228676721617,harmonics
0.478313775673654,harmonics
0.6425052717691808,harmonics
0.7456872120594519,harmonics
0.7785172926706554,harmonics
0.7603192543837399,harmonics
0.7803943826298112,harmonics
0.7796557909641564,harmonics
0.774511908629776,harmonics
0.8312721478639179,harmonics
0.8797462433273718,harmonics
0.9204680251008608,harmonics
0.8951641484250455,harmonics
0.8757509329692165,harmonics
0.8343050789239763,harmonics
0.8106380379945823,harmonics
0.7703055025064383,harmonics
0.7582022184749779,harmonics
0.7687272474685313,harmonics
0.7716682593145093,harmonics
0.7400366419554115,harmonics
0.6494852847483972,harmonics
0.47116315720215424,harmonics
0.2685920697484911,harmonics
-0.010386835004639364,harmonics
-0.2576853264380205,harmonics
-0.49712445433299174,harmonics
-0.6339330539039928,harmonics
-0.7356514316653755,harmonics
-0.7926463989448986,harmonics
-0.7766327166036144,harmonics
-0.7565902848559065,harmonics
-0.7798358955596323,harmonics
-0.8159748341406716,harmonics
-0.844363874220725,harmonics
-0.8783318472027979,harmonics
-0.8932636951815582,harmonics
-0.9268083321047916,harmonics
-0.8705790760476858,harmonics
-0.8307315819085379,harmonics
-0.7932557037100143,harmonics
-0.7797482365258018,harmonics
-0.7755012809748643,harmonics
-0.7797493794660418,harmonics
-0.7681203770652455,harmonics
-0.7556624076649974,harmonics
-0.6589747395242515,harmonics
-0.5026150173210338,harmonics
-0.2608174397149807,harmonics
-0.001839765410704273,harmonics
0.25341835063803453,harmonics
0.4663085113341916,harmonics
0.6248969082749635,harmonics
0.7477633429946481,harmonics
0.7766660129388305,harmonics
0.7890091873366489,harmonics
0.7854628414075002,harmonics
0.7773329929346874,harmonics
0.7897249502705501,harmonics
0.8267029213868284,harmonics
0.8773802195780286,harmonics
0.8851268575799537,harmonics
0.9120973830686563,harmonics
0.8878726851051296,harmonics
0.838215452638981,harmonics
0.8008596749845026,harmonics
0.7630359747591311,harmonics
0.7776307161201096,harmonics
0.7762356944465111,harmonics
0.7722916223011431,harmonics
0.7530353072577003,harmonics
0.6309047251736375,harmonics
0.49666624909839396,harmonics
0.24898942189919368,harmonics
0.00904538845253364,harmonics
-0.25625334670662825,harmonics
-0.4590611399890253,harmonics
-0.6414467914801808,harmonics
-0.7507065461972392,harmonics
-0.7723122680853575,harmonics
-0.7759850030268058,harmonics
-0.7658161667049643,harmonics
-0.7882210674197317,harmonics
-0.7691462946058313,harmonics
-0.853720870559669,harmonics
-0.8662030092831872,harmonics
-0.8904459310035197,harmonics
-0.8802062491256755,harmonics
-0.8497712457754687,harmonics
-0.8283094001681639,harmonics
-0.8027666921385639,harmonics
-0.7785003958464232,harmonics
-0.7740818468228776,harmonics
-0.7781649668590811,harmonics
-0.7914235383473515,harmonics
-0.7201689106720024,harmonics
-0.6496527450566527,harmonics
-0.49986105756449356,harmonics
-0.27303893211869323,harmonics
